Order ID,Customer ID,Customer Name,Product ID,Product Name,Quantity,Total Price,Date
9187346,57820,McDonalds HQ,5927583,MaxBond Anchors,5,50.0,2023-01-21
6157443,10539,MAG Industries,9382754,Safety Lock,2,260.0,2023-07-03
9250014,19642,Microsolutions,8473612,Steel Chain,5,945.0,2023-10-29
5612580,71405,Apple,8327493,IronGrip Nuts & Bolts pack,3,819.0,2023-01-12
6531151,57820-1,McDonalds New York,5927583,MaxBond Anchors,4,40.0,2023-04-18
6967215,57820-1,McDonalds New York,4938583,SolidSpan Coupling,1,5.3,2023-03-31
7943442,10539,EKG Technologies,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-09-06
7042383,57820-2,McDonalds Miami,2394206,Aluminum Head Bolt,3,30.0,2023-01-13
6961284,19642,Microsolutions,4206932,Megafix Fastener,5,6.861711711711712,2023-10-12
8626899,10539,EKG Technologies,2394206,Aluminum Head Bolt,3,30.0,2023-01-21
8186392,57820,McDonalds HQ,4206932,Megafix Fastener,3,4.117027027027027,2022-12-27
5120857,57820,McDonalds HQ,2394206,Aluminum Head Bolt,2,20.0,2023-10-31
5432544,57820,McDonalds HQ,1958372,Bracing System,1,577.8234234234234,2023-10-16
6982766,57820-2,McDonalds Miami,1958372,Bracing System,4,2311.2936936936935,2023-01-23
8235027,19642,Microsolutions,4938583,SolidSpan Coupling,5,26.5,2023-01-15
8622016,57820-2,McDonalds Miami,5927583,MaxBond Anchors,4,40.0,2023-05-29
6961284,19642,Microsolutions,1958372,Bracing System,1,577.8234234234234,2023-10-12
8641673,71405-77,Apple - Grand Central Station,8473612,Steel Chain,2,378.0,2023-08-01
8186392,57820,McDonalds HQ,8473612,Steel Chain,1,189.0,2022-12-27
6673881,57820-1,McDonalds New York,4206932,Megafix Fastener,2,2.744684684684685,2023-02-02
7787280,57820,McDonalds HQ,3958382,Red Clamps,1,12.0,2023-03-23
8186392,57820,McDonalds HQ,9382754,Safety Lock,1,130.0,2022-12-27
7943442,10539,EKG Technologies,1958372,Bracing System,5,2889.117117117117,2023-09-06
7042383,57820-2,McDonalds Miami,8473612,Steel Chain,2,378.0,2023-01-13
8186392,57820,McDonalds HQ,9382754,Safety Lock,5,650.0,2022-12-27
5120857,57820,McDonalds HQ,2756483,Truefit Seals,2,8.46849269069069,2023-10-31
8186392,57820,McDonalds HQ,4938583,SolidSpan Coupling,5,26.5,2022-12-27
8622016,57820-2,McDonalds Miami,4206932,Megafix Fastener,2,2.744684684684685,2023-05-29
5612580,71405,Apple,2756483,Truefit Seals,3,12.702739036036036,2023-01-12
6847088,57820-1,McDonalds New York,2394206,Aluminum Head Bolt,3,30.0,2023-08-05
6477952,57820,McDonalds HQ,5927583,MaxBond Anchors,4,40.0,2023-10-20
9187346,57820,McDonalds HQ,3958382,Red Clamps,4,48.0,2023-01-21
6847088,57820-1,McDonalds New York,5927583,MaxBond Anchors,5,50.0,2023-08-05
6477952,57820,McDonalds HQ,9382754,Safety Lock,4,520.0,2023-10-20
5612580,71405,Apple,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-01-12
8186392,57820,McDonalds HQ,9382754,Safety Lock,4,520.0,2022-12-27
6339941,10539,EKG Technologies,4206932,Megafix Fastener,4,5.48936936936937,2023-11-27
6847088,57820-1,McDonalds New York,4938583,SolidSpan Coupling,1,5.3,2023-08-05
7943442,10539,EKG Technologies,9375732,PivotPlus Hinges,2,6.345046906490468,2023-09-06
9250014,19642,Microsolutions,2064306,Steel Screw,4,0.4,2023-10-29
5120857,57820,McDonalds HQ,4206932,Megafix Fastener,4,5.48936936936937,2023-10-31
